epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,172.667,0.92148,0.80784,2.08023,0.8368,0.66279,0.7377,0.57766,1.94308,2.51956,3.21154,0.000878,0.000878,0.000878
87,197.52,1.02391,0.88554,2.1405,0.7608,0.72093,0.75015,0.58962,1.86254,2.39255,3.06292,0.0008648,0.0008648,0.0008648
88,221.986,1.01688,0.91622,2.15007,0.81359,0.69767,0.78134,0.6295,1.77522,1.90292,2.96729,0.0008516,0.0008516,0.0008516
89,248.209,1.03522,0.92025,2.15717,0.71904,0.71425,0.74599,0.59664,1.92207,2.1094,3.09275,0.0008384,0.0008384,0.0008384
90,272.727,0.98971,0.87996,2.13908,0.80164,0.66279,0.73751,0.58697,1.92245,2.44936,3.16092,0.0008252,0.0008252,0.0008252
91,297.648,1.02336,0.90252,2.15781,0.82257,0.67442,0.74511,0.56646,2.11131,2.19103,3.45829,0.000812,0.000812,0.000812
92,322.717,1.00989,0.88543,2.14269,0.84749,0.67442,0.74846,0.57568,1.98436,2.21366,3.16305,0.0007988,0.0007988,0.0007988
93,24.9609,0.90138,0.79798,2.07688,0.85252,0.67217,0.76084,0.59882,1.85893,2.2893,3.1251,0.0007856,0.0007856,0.0007856
94,49.9748,0.8489,0.72005,2.03174,0.82343,0.705,0.77736,0.60441,1.86749,2.05039,3.10386,0.0007724,0.0007724,0.0007724
95,74.7382,0.84926,0.72256,2.04684,0.82376,0.68605,0.77324,0.61415,1.8675,2.3861,3.03521,0.0007592,0.0007592,0.0007592
96,99.5189,0.86287,0.73595,2.05304,0.8641,0.62791,0.73797,0.58123,1.89766,2.2454,3.23569,0.000746,0.000746,0.000746
97,124.122,0.87417,0.76752,2.0471,0.78159,0.63953,0.74673,0.57667,1.97217,2.25257,3.28467,0.0007328,0.0007328,0.0007328
98,148.617,0.85129,0.72867,2.04219,0.78558,0.68165,0.74255,0.591,1.93597,2.49714,3.25402,0.0007196,0.0007196,0.0007196
